species,plant.size,seed.number
albicans,3.5,20
alborufescens,3.05,12
amnicola,6,16
argyrophylla,5,28
atlantica,3.5,4
baumgratziana,3.5,5
budlejoides,7,10
burchellii,3.5,35
castaneiflora,3.5,4
chrysophylla,10,4
cinerascens,2.5,8
cipoensis,1.5,5
corallina,2,2
cowanii,4,8
cubatanensis,2.8,3
cyathanthera,1.7,3
dichrophylla,12.5,12
discolor,5,10
dispar,7,32
fallax,1.5,44
fasciculata,5,6
ferruginata,2.5,21
flammea,3,2
formosa,10,9
heliotropoides,1.5,54
hyemalis,2,10
hypoleuca,8,69
kollmannii,3,2
lepidota,10,23
longispicata,6,18
lourteigiana,3,32
lymanii,4,5
macrothyrsa,0.5,26
macuxi,1.5,42
mayarae,4,25
multispicata,11,24
navioensis,6.75,27
octopetala,7.5,18
penduliflora,2,15
pepericarpa,7,2
petroniana,7.25,2
polyandra,3,36
pterocaulon,9.5,34
punctata,6,6
racemifera,4.25,17
rondoniensis,9.5,22
rufescens,1.5,34
ruficalyx,11,22
ruschiana,2.5,5
sclerophylla,1.75,3
secundiflora,2,36
serialis,5,18
shepherdii,8,3
stenostachya,1.75,44
suberosa,4,3
tiliifolia,2,93
valtheri,3.5,36
willdenowii,3,1
